#### El dulce por lo que lleva
   i0 | E: Huevo y azúcar cuajados, con caramelo por encima | C: El flan | D: ['El arroz con leche', 'Las natillas']
   i1 | E: Arroz cocido con leche, azúcar y canela | C: El arroz con leche | D: ['El flan', 'El bizcocho']
   i2 | E: Yema y almendra; muy típico de la Navidad | C: El turrón | D: ['El flan', 'El arroz con leche']
   i3 | E: Pan frito en leche, huevo y azúcar; de Semana Santa | C: Las torrijas | D: ['El flan', 'El turrón']
   i4 | E: Masa esponjosa horneada, para mojar en el café | C: El bizcocho | D: ['El flan', 'Las natillas']
   i5 | E: Crema amarilla de huevo y leche, con una galleta encima | C: Las natillas | D: ['El turrón', 'Las torrijas']
#### Lugares muy conocidos de España
   i0 | E: Museo de Madrid con cuadros de Velázquez y Goya | C: El Prado | D: ['La Alhambra', 'La Giralda']
   i1 | E: Palacio y fortaleza árabe en Granada | C: La Alhambra | D: ['El Prado', 'La Sagrada Familia']
   i2 | E: Torre y campanario junto a la catedral de Sevilla | C: La Giralda | D: ['La Alhambra', 'El Prado']
   i3 | E: Gran templo de Barcelona, obra de Gaudí, aún sin terminar | C: La Sagrada Familia | D: ['La Giralda', 'El Prado']
   i4 | E: Acueducto romano de piedra en Segovia | C: El Acueducto de Segovia | D: ['La Alhambra', 'La Giralda']
   i5 | E: Camino de peregrinos que termina en la tumba del Apóstol | C: El Camino de Santiago | D: ['El Prado', 'La Alhambra']
#### Transporte sobre raíles
   i0 | E: Va sobre dos raíles y arrastra vagones enganchados | C: Tren | D: ['Avión', 'Barco']
   i1 | E: Tren que circula por debajo de la ciudad, bajo tierra | C: Metro | D: ['Camión', 'Barca']
   i2 | E: Va por raíles por las calles de la ciudad, con cables por arriba | C: Tranvía | D: ['Avión', 'Bicicleta']
   i3 | E: Tren español muy rápido que une ciudades lejanas | C: AVE | D: ['Autobús', 'Barco']
   i4 | E: Vagones que suben la montaña por raíles muy empinados | C: Funicular | D: ['Coche', 'Barca']
   i5 | E: Vagoneta pequeña de las minas que llevaba el carbón | C: Vagoneta | D: ['Avión', 'Moto']
#### Transporte por el aire
   i0 | E: Vuela alto y lleva a muchas personas de un país a otro | C: Avión | D: ['Barco', 'Tren']
   i1 | E: Vuela y tiene unas aspas grandes que giran encima | C: Helicóptero | D: ['Coche', 'Bicicleta']
