#### La verdura por su definición
   i0 | E: Hortaliza redonda y roja con la que se hace el gazpacho | C: Tomate | D: ['Pimiento', 'Cebolla']
   i1 | E: Verdura de hojas verdes con la que se hace la ensalada | C: Lechuga | D: ['Espinaca', 'Acelga']
   i2 | E: Hortaliza larga y naranja que le gusta al conejo | C: Zanahoria | D: ['Patata', 'Nabo']
   i3 | E: Verdura blanca por dentro que hace llorar al cortarla | C: Cebolla | D: ['Ajo', 'Puerro']
   i4 | E: Tubérculo con el que se hacen las patatas fritas | C: Patata | D: ['Boniato', 'Nabo']
   i5 | E: Hortaliza de piel morada y brillante, alargada | C: Berenjena | D: ['Calabacín', 'Pimiento']
   i6 | E: Hortaliza verde y alargada, parecida al pepino, para el pisto | C: Calabacín | D: ['Pepino', 'Puerro']
#### La prenda por su definición
   i0 | E: Prenda que cubre los pies dentro del zapato | C: Calcetines | D: ['Guantes', 'Zapatos']
   i1 | E: Prenda de abrigo que se pone en las manos en invierno | C: Guantes | D: ['Bufanda', 'Calcetines']
   i2 | E: Prenda larga que se enrolla al cuello para el frío | C: Bufanda | D: ['Gorro', 'Corbata']
   i3 | E: Prenda que se pone en la cabeza para el frío | C: Gorro | D: ['Bufanda', 'Guantes']
   i4 | E: Prenda con dos perneras que cubre las piernas | C: Pantalón | D: ['Falda', 'Camisa']
   i5 | E: Calzado de goma alto para la lluvia | C: Botas de agua | D: ['Sandalias', 'Zapatillas']
   i6 | E: Prenda de una sola pieza que se pone por la cabeza | C: Vestido | D: ['Falda', 'Blusa']
#### El mueble por su definición
   i0 | E: Mueble con respaldo para sentarse una persona | C: Silla | D: ['Mesa', 'Cama']
   i1 | E: Mueble donde dormimos por la noche | C: Cama | D: ['Sofá', 'Silla']
   i2 | E: Mueble con tablero y patas donde comemos | C: Mesa | D: ['Silla', 'Estantería']
   i3 | E: Mueble blando y ancho del salón para varias personas | C: Sofá | D: ['Sillón', 'Cama']
   i4 | E: Mueble con puertas y perchas donde se guarda la ropa | C: Armario | D: ['Cómoda', 'Estantería']
   i5 | E: Mueble con baldas para colocar los libros | C: Estantería | D: ['Armario', 'Mesa']
   i6 | E: Mueble con cajones para guardar la ropa doblada | C: Cómoda | D: ['Armario', 'Mesilla']
#### La flor por su definición
